amount_required,value,footprint
5,100n,0603
5,22uF,0603
1,4.7uF,0603
6,10uF,0603
1,120pF,0603
1,1uF,0603
1,25%,0603
3,LED,0603
2,MBR1020VL,D_SOD-123F
1,50%,0603
1,75%,0603
1,100%,0603
2,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm
1,Conn_Coaxial,SMA_Amphenol_901-143_Horizontal
1,Battery,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical
1,Conn_01x04,PinSocket_1x04_P2.54mm_Vertical
1,Antenna,SMA_Amphenol_901-143_Horizontal
1,Conn_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical
1,BUZZ,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical
1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12
1,1uH,1206
1,470nH,1206
3,AO3400A,SOT-23
2,2,0603
7,10k,0603
5,1k,0603
2,5.1k,0603
2,22,0603
1,453k,0603
2,100k,0603
1,SW_Push,Panasonic_EVQPUM_EVQPUD
1,RotaryEncoder_Switch_MP,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm
1,BOOT,Panasonic_EVQPUM_EVQPUD
1,EN,Panasonic_EVQPUM_EVQPUD
1,USER,Panasonic_EVQPUM_EVQPUD
1,SW_DIP_x01,SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin
5,TestPoint,TestPoint_Pad_D1.5mm
1,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1
1,E22-900M30S,XCVR_E22-900M30S
1,IP5306,SOP127P600X165-9N
1,NEO-M9N,ublox_NEO
1,TPS62822DLC,Texas_VSON-HR-8_1.5x2mm_P0.5mm
